POLICY: First Fit	MEMORY SIZE: 512


NUMBER 	SEQUENCE 	SIZE 	ADR 	MEMORY LEFT 	LARGEST CHUNK
	1 	alloc 		99744 	0 		424544 		424544
	2 	alloc 		111776 	99744 		312768 		312768
	3 	alloc 		64864 	211520 		247904 		247904
	4 	alloc 		91552 	276384 		156352 		156352
	5 	free 		111776 	0 		268128 		156352
	6 	free 		91552 	0 		359680 		247904
	7 	alloc 		5600 	99744 		354080 		247904
	8 	alloc 		110304 	276384 		243776 		137600
	9 	alloc 		78688 	105344 		165088 		137600
	10 	alloc 		8032 	184032 		157056 		137600
	11 	alloc 		27872 	386688 		129184 		109728
	12 	alloc 		72992 	414560 		56192 		36736
	13 	alloc 		4960 	192064 		51232 		36736
	14 	alloc 		58400 	-1 		51232 		36736
	15 	alloc 		84640 	-1 		51232 		36736
	16 	free 		78688 	0 		129920 		78688
	17 	alloc 		25760 	105344 		104160 		52928
	18 	free 		5600 	0 		109760 		52928
	19 	free 		64864 	0 		174624 		79360
	20 	alloc 		6496 	131104 		168128 		79360
	21 	alloc 		118240 	-1 		168128 		79360
	22 	free 		27872 	0 		196000 		79360
	23 	alloc 		44448 	137600 		151552 		79360
	24 	free 		8032 	0 		159584 		79360
	25 	alloc 		113440 	-1 		159584 		79360
	26 	free 		99744 	0 		259328 		105344
	27 	free 		118240 	-1 		259328 		105344
	28 	free 		6496 	0 		265824 		105344
	29 	free 		84640 	-1 		265824 		105344
	30 	alloc 		115040 	-1 		265824 		105344
	31 	free 		25760 	0 		291584 		137600
	32 	alloc 		55072 	0 		236512 		82528
	33 	free 		4960 	0 		241472 		94336
	34 	free 		44448 	0 		285920 		221312
	35 	free 		55072 	0 		340992 		276384
	36 	alloc 		57312 	0 		283680 		219072
	37 	alloc 		101408 	57312 		182272 		117664
	38 	free 		110304 	0 		292576 		255840
	39 	free 		72992 	0 		365568 		365568
	40 	free 		58400 	-1 		365568 		365568
	41 	alloc 		71328 	158720 		294240 		294240
	42 	alloc 		26144 	230048 		268096 		268096
	43 	alloc 		55968 	256192 		212128 		212128
	44 	alloc 		17824 	312160 		194304 		194304
	45 	free 		26144 	0 		220448 		194304
	46 	free 		57312 	0 		277760 		194304
	47 	alloc 		49120 	0 		228640 		194304
	48 	free 		71328 	0 		299968 		194304
	49 	alloc 		87200 	158720 		212768 		194304
	50 	alloc 		16928 	329984 		195840 		177376
	51 	alloc 		10848 	346912 		184992 		166528
	52 	free 		16928 	0 		201920 		166528
	53 	free 		87200 	0 		289120 		166528
	54 	alloc 		110112 	357760 		179008 		97472
	55 	free 		113440 	-1 		179008 		97472
	56 	alloc 		36640 	158720 		142368 		60832
	57 	free 		110112 	0 		252480 		166528
	58 	alloc 		90592 	357760 		161888 		75936
	59 	alloc 		32 	49120 		161856 		75936
	60 	free 		115040 	-1 		161856 		75936
	61 	alloc 		57312 	195360 		104544 		75936
	62 	alloc 		113952 	-1 		104544 		75936
	63 	free 		101408 	0 		205952 		109568
	64 	alloc 		88160 	49152 		117792 		75936
	65 	free 		55968 	0 		173760 		75936
	66 	free 		10848 	0 		184608 		75936
	67 	alloc 		35424 	252672 		149184 		75936
	68 	alloc 		7584 	137312 		141600 		75936
	69 	free 		49120 	0 		190720 		75936
	70 	free 		7584 	0 		198304 		75936
	71 	alloc 		60960 	448352 		137344 		49120
	72 	alloc 		36704 	0 		100640 		27776
	73 	free 		90592 	0 		191232 		118368
	74 	free 		17824 	0 		209056 		160256
	75 	alloc 		44512 	288096 		164544 		115744
	76 	alloc 		34656 	332608 		129888 		81088
	77 	free 		32 	0 		129920 		81088
	78 	alloc 		85024 	-1 		129920 		81088
	79 	free 		36640 	0 		166560 		81088
	80 	alloc 		42080 	137312 		124480 		81088
	81 	alloc 		39520 	367264 		84960 		41568
	82 	alloc 		79840 	-1 		84960 		41568
	83 	free 		42080 	0 		127040 		58048
	84 	free 		57312 	0 		184352 		115360
	85 	alloc 		79840 	137312 		104512 		41568
	86 	alloc 		110816 	-1 		104512 		41568
	87 	alloc 		61664 	-1 		104512 		41568
	88 	alloc 		51808 	-1 		104512 		41568
	89 	alloc 		53152 	-1 		104512 		41568
	90 	free 		35424 	0 		139936 		70944
	91 	free 		113952 	-1 		139936 		70944
	92 	free 		85024 	-1 		139936 		70944
	93 	free 		88160 	0 		228096 		100608
	94 	free 		44512 	0 		272608 		115456
	95 	free 		36704 	0 		309312 		137312
	96 	free 		34656 	0 		343968 		150112
	97 	free 		39520 	0 		383488 		231200
	98 	alloc 		40736 	0 		342752 		231200
	99 	alloc 		108192 	217152 		234560 		123008
	100 	free 		60960 	0 		295520 		198944
	101 	free 		79840 	0 		375360 		198944
	102 	alloc 		43552 	40736 		331808 		198944
	103 	alloc 		95840 	84288 		235968 		198944
	104 	free 		40736 	0 		276704 		198944
	105 	free 		53152 	-1 		276704 		198944
	106 	free 		95840 	0 		372544 		198944
	107 	alloc 		10464 	0 		362080 		198944
	108 	alloc 		51552 	84288 		310528 		198944
	109 	free 		110816 	-1 		310528 		198944
	110 	free 		51552 	0 		362080 		198944
	111 	alloc 		31200 	84288 		330880 		198944
	112 	free 		79840 	-1 		330880 		198944
	113 	free 		51808 	-1 		330880 		198944
	114 	alloc 		63648 	115488 		267232 		198944
	115 	free 		61664 	-1 		267232 		198944
	116 	free 		108192 	0 		375424 		345152
	117 	alloc 		96480 	179136 		278944 		248672
	118 	alloc 		44832 	275616 		234112 		203840
	119 	alloc 		24864 	10464 		209248 		203840
	120 	free 		24864 	0 		234112 		203840
	121 	alloc 		80224 	320448 		153888 		123616
	122 	alloc 		91680 	400672 		62208 		31936
	123 	free 		10464 	0 		72672 		40736
	124 	alloc 		94752 	-1 		72672 		40736
	125 	alloc 		113376 	-1 		72672 		40736
	126 	alloc 		82272 	-1 		72672 		40736
	127 	free 		43552 	0 		116224 		84288
	128 	free 		31200 	0 		147424 		115488
	129 	alloc 		124832 	-1 		147424 		115488
	130 	alloc 		45664 	0 		101760 		69824
	131 	free 		63648 	0 		165408 		133472
	132 	alloc 		94432 	45664 		70976 		39040
	133 	free 		82272 	-1 		70976 		39040
	134 	free 		94752 	-1 		70976 		39040
	135 	free 		91680 	0 		162656 		123616
	136 	alloc 		44192 	400672 		118464 		79424
	137 	free 		94432 	0 		212896 		133472
	138 	alloc 		93856 	45664 		119040 		79424
	139 	alloc 		124064 	-1 		119040 		79424
	140 	free 		44192 	0 		163232 		123616
	141 	free 		44832 	0 		208064 		123616
	142 	free 		80224 	0 		288288 		248672
	143 	alloc 		24288 	139520 		264000 		248672
	144 	free 		96480 	0 		360480 		360480
	145 	free 		124064 	-1 		360480 		360480
	146 	free 		113376 	-1 		360480 		360480
	147 	alloc 		84000 	163808 		276480 		276480
	148 	alloc 		62688 	247808 		213792 		213792
	149 	free 		84000 	0 		297792 		213792
	150 	free 		124832 	-1 		297792 		213792
	151 	alloc 		123104 	310496 		174688 		90688
	152 	alloc 		84384 	433600 		90304 		84000
	153 	alloc 		67936 	163808 		22368 		16064
	154 	alloc 		67872 	-1 		22368 		16064
	155 	free 		62688 	0 		85056 		78752
	156 	free 		45664 	0 		130720 		78752
	157 	alloc 		91104 	-1 		130720 		78752
	158 	alloc 		21280 	0 		109440 		78752
	159 	alloc 		8480 	21280 		100960 		78752
	160 	free 		93856 	0 		194816 		109760
	161 	alloc 		27872 	29760 		166944 		81888
	162 	alloc 		30304 	57632 		136640 		78752
	163 	alloc 		44256 	87936 		92384 		78752
	164 	free 		21280 	0 		113664 		78752
	165 	alloc 		93408 	-1 		113664 		78752
	166 	alloc 		46368 	231744 		67296 		32384
	167 	alloc 		47584 	-1 		67296 		32384
	168 	free 		91104 	-1 		67296 		32384
	169 	free 		44256 	0 		111552 		51584
	170 	free 		123104 	0 		234656 		155488
	171 	free 		24288 	0 		258944 		155488
	172 	alloc 		122528 	278112 		136416 		75872
	173 	alloc 		56800 	87936 		79616 		32960
	174 	free 		67936 	0 		147552 		87008
	175 	free 		67872 	-1 		147552 		87008
	176 	alloc 		69984 	144736 		77568 		32960
	177 	free 		84384 	0 		161952 		123648
	178 	alloc 		92448 	400640 		69504 		31200
	179 	alloc 		18400 	0 		51104 		31200
	180 	free 		27872 	0 		78976 		31200
	181 	free 		8480 	0 		87456 		39232
	182 	free 		122528 	0 		209984 		122528
	183 	free 		30304 	0 		240288 		122528
	184 	alloc 		74080 	278112 		166208 		69536
	185 	alloc 		114656 	-1 		166208 		69536
	186 	alloc 		93216 	-1 		166208 		69536
	187 	alloc 		103776 	-1 		166208 		69536
	188 	alloc 		3936 	18400 		162272 		65600
	189 	free 		46368 	0 		208640 		65600
	190 	free 		93408 	-1 		208640 		65600
	191 	free 		69984 	0 		278624 		133376
	192 	free 		47584 	-1 		278624 		133376
	193 	alloc 		94240 	144736 		184384 		65600
	194 	free 		93216 	-1 		184384 		65600
	195 	free 		18400 	0 		202784 		65600
	196 	alloc 		112480 	-1 		202784 		65600
	197 	free 		56800 	0 		259584 		122400
	198 	free 		103776 	-1 		259584 		122400
	199 	alloc 		102560 	22336 		157024 		48448
	200 	alloc 		91424 	-1 		157024 		48448
	201 	alloc 		69472 	-1 		157024 		48448
	202 	alloc 		15328 	0 		141696 		48448
	203 	alloc 		14240 	124896 		127456 		48448
	204 	alloc 		105760 	-1 		127456 		48448
	205 	free 		92448 	0 		219904 		172096
	206 	free 		74080 	0 		293984 		285312
	207 	alloc 		80608 	238976 		213376 		204704
	208 	alloc 		101536 	319584 		111840 		103168
	209 	free 		91424 	-1 		111840 		103168
	210 	alloc 		63648 	421120 		48192 		39520
	211 	free 		112480 	-1 		48192 		39520
	212 	alloc 		46304 	-1 		48192 		39520
	213 	alloc 		112480 	-1 		48192 		39520
	214 	free 		114656 	-1 		48192 		39520
	215 	free 		3936 	0 		52128 		39520
	216 	alloc 		48992 	-1 		52128 		39520
	217 	alloc 		128224 	-1 		52128 		39520
	218 	alloc 		65568 	-1 		52128 		39520
	219 	alloc 		14816 	484768 		37312 		24704
	220 	free 		15328 	0 		52640 		24704
	221 	free 		46304 	-1 		52640 		24704
	222 	free 		94240 	0 		146880 		99840
	223 	free 		63648 	0 		210528 		99840
	224 	free 		14816 	0 		225344 		103168
	225 	free 		69472 	-1 		225344 		103168
	226 	alloc 		122592 	-1 		225344 		103168
	227 	alloc 		16480 	0 		208864 		103168
	228 	free 		101536 	0 		310400 		204704
	229 	free 		102560 	0 		412960 		204704
	230 	alloc 		122080 	319584 		290880 		108416
	231 	free 		14240 	0 		305120 		222496
	232 	free 		112480 	-1 		305120 		222496
	233 	free 		105760 	-1 		305120 		222496
	234 	alloc 		116000 	16480 		189120 		106496
	235 	alloc 		65824 	132480 		123296 		82624
	236 	alloc 		110944 	-1 		123296 		82624
	237 	free 		80608 	0 		203904 		121280
	238 	alloc 		36192 	198304 		167712 		85088
	239 	alloc 		58336 	234496 		109376 		82624
	240 	free 		48992 	-1 		109376 		82624
	241 	free 		122592 	-1 		109376 		82624
	242 	free 		116000 	0 		225376 		116000
	243 	alloc 		57184 	16480 		168192 		82624
	244 	free 		16480 	0 		184672 		82624
	245 	free 		65568 	-1 		184672 		82624
	246 	free 		128224 	-1 		184672 		82624
	247 	alloc 		105632 	-1 		184672 		82624
	248 	alloc 		121056 	-1 		184672 		82624
	249 	free 		121056 	-1 		184672 		82624
	250 	free 		122080 	0 		306752 		231456
	251 	alloc 		42080 	73664 		264672 		231456
	252 	alloc 		87328 	292832 		177344 		144128
	253 	alloc 		8352 	0 		168992 		144128
	254 	alloc 		48416 	380160 		120576 		95712
	255 	free 		105632 	-1 		120576 		95712
	256 	free 		42080 	0 		162656 		95712
	257 	alloc 		17312 	73664 		145344 		95712
	258 	free 		57184 	0 		202528 		95712
	259 	alloc 		63136 	8352 		139392 		95712
	260 	free 		110944 	-1 		139392 		95712
	261 	free 		65824 	0 		205216 		107328
	262 	alloc 		47328 	90976 		157888 		95712
	263 	free 		36192 	0 		194080 		96192
	264 	free 		58336 	0 		252416 		154528
	265 	alloc 		52256 	138304 		200160 		102272
	266 	alloc 		118048 	-1 		200160 		102272
	267 	alloc 		98656 	190560 		101504 		95712
	268 	alloc 		11552 	428576 		89952 		84160
	269 	alloc 		125344 	-1 		89952 		84160
	270 	free 		17312 	0 		107264 		84160
	271 	alloc 		116064 	-1 		107264 		84160
	272 	alloc 		69664 	440128 		37600 		19488
	273 	free 		116064 	-1 		37600 		19488
	274 	free 		48416 	0 		86016 		48416
	275 	alloc 		114976 	-1 		86016 		48416
	276 	alloc 		44064 	380160 		41952 		19488
	277 	free 		8352 	0 		50304 		19488
	278 	alloc 		39520 	-1 		50304 		19488
	279 	alloc 		106784 	-1 		50304 		19488
	280 	free 		47328 	0 		97632 		66816
	281 	free 		87328 	0 		184960 		90944
	282 	free 		63136 	0 		248096 		138304
	283 	alloc 		24096 	0 		224000 		114208
	284 	alloc 		71968 	24096 		152032 		90944
	285 	free 		44064 	0 		196096 		139360
	286 	alloc 		58976 	289216 		137120 		80384
	287 	free 		69664 	0 		206784 		84160
	288 	free 		98656 	0 		305440 		98656
	289 	free 		125344 	-1 		305440 		98656
	290 	free 		106784 	-1 		305440 		98656
	291 	free 		52256 	0 		357696 		193152
	292 	alloc 		111008 	96064 		246688 		84160
	293 	free 		11552 	0 		258240 		176096
	294 	alloc 		42336 	207072 		215904 		176096
	295 	alloc 		121184 	348192 		94720 		54912
	296 	free 		118048 	-1 		94720 		54912
	297 	alloc 		26848 	249408 		67872 		54912
	298 	alloc 		77216 	-1 		67872 		54912
	299 	alloc 		103776 	-1 		67872 		54912
	300 	alloc 		120480 	-1 		67872 		54912
	301 	free 		71968 	0 		139840 		71968
	302 	alloc 		118560 	-1 		139840 		71968
	303 	alloc 		42080 	24096 		97760 		54912
	304 	free 		114976 	-1 		97760 		54912
	305 	free 		39520 	-1 		97760 		54912
	306 	free 		42336 	0 		140096 		54912
	307 	alloc 		72992 	-1 		140096 		54912
	308 	free 		118560 	-1 		140096 		54912
	309 	alloc 		44512 	469376 		95584 		42336
	310 	free 		120480 	-1 		95584 		42336
	311 	alloc 		32224 	207072 		63360 		29888
	312 	alloc 		87648 	-1 		63360 		29888
	313 	free 		24096 	0 		87456 		29888
	314 	alloc 		32352 	-1 		87456 		29888
	315 	free 		58976 	0 		146432 		71936
	316 	free 		26848 	0 		173280 		108896
	317 	free 		111008 	0 		284288 		140896
	318 	alloc 		63584 	66176 		220704 		108896
	319 	free 		42080 	0 		262784 		108896
	320 	alloc 		30624 	0 		232160 		108896
	321 	alloc 		18336 	30624 		213824 		108896
	322 	free 		121184 	0 		335008 		230080
	323 	free 		44512 	0 		379520 		284992
	324 	alloc 		224 	48960 		379296 		284992
	325 	free 		103776 	-1 		379296 		284992
	326 	alloc 		113760 	239296 		265536 		171232
	327 	free 		77216 	-1 		265536 		171232
	328 	alloc 		12960 	49184 		252576 		171232
	329 	alloc 		46688 	129760 		205888 		171232
	330 	alloc 		44128 	353056 		161760 		127104
	331 	alloc 		86176 	397184 		75584 		40928
	332 	alloc 		109792 	-1 		75584 		40928
	333 	free 		32352 	-1 		75584 		40928
	334 	alloc 		74784 	-1 		75584 		40928
	335 	free 		72992 	-1 		75584 		40928
	336 	alloc 		1376 	62144 		74208 		40928
	337 	free 		113760 	0 		187968 		113760
	338 	free 		30624 	0 		218592 		113760
	339 	free 		32224 	0 		250816 		176608
	340 	free 		87648 	-1 		250816 		176608
	341 	alloc 		50848 	176448 		199968 		125760
	342 	alloc 		80800 	227296 		119168 		44960
	343 	free 		63584 	0 		182752 		66240
	344 	free 		12960 	0 		195712 		66240
	345 	alloc 		117088 	-1 		195712 		66240
	346 	alloc 		112864 	-1 		195712 		66240
	347 	alloc 		3616 	0 		192096 		66240
	348 	free 		224 	0 		192320 		66240
	349 	alloc 		56224 	63520 		136096 		44960
	350 	alloc 		128160 	-1 		136096 		44960
	351 	free 		18336 	0 		154432 		58528
	352 	alloc 		85472 	-1 		154432 		58528
	353 	free 		44128 	0 		198560 		89088
	354 	alloc 		55456 	3616 		143104 		89088
	355 	free 		46688 	0 		189792 		89088
	356 	free 		74784 	-1 		189792 		89088
	357 	free 		1376 	0 		191168 		89088
	358 	free 		109792 	-1 		191168 		89088
	359 	free 		86176 	0 		277344 		216192
	360 	alloc 		23264 	119744 		254080 		216192
	361 	free 		50848 	0 		304928 		216192
	362 	free 		80800 	0 		385728 		381280
	363 	free 		117088 	-1 		385728 		381280
	364 	alloc 		37792 	143008 		347936 		343488
	365 	free 		3616 	0 		351552 		343488
	366 	free 		23264 	0 		374816 		343488
	367 	free 		56224 	0 		431040 		343488
	368 	alloc 		69728 	59072 		361312 		343488
	369 	alloc 		2208 	0 		359104 		343488
	370 	alloc 		6368 	128800 		352736 		343488
	371 	alloc 		40608 	180800 		312128 		302880
	372 	alloc 		103328 	221408 		208800 		199552
	373 	alloc 		53280 	324736 		155520 		146272
	374 	free 		112864 	-1 		155520 		146272
	375 	alloc 		87200 	378016 		68320 		59072
	376 	free 		69728 	0 		138048 		69728
	377 	alloc 		70752 	-1 		138048 		69728
	378 	alloc 		68832 	59072 		69216 		59072
	379 	free 		85472 	-1 		69216 		59072
	380 	free 		128160 	-1 		69216 		59072
	381 	alloc 		36000 	465216 		33216 		23072
	382 	free 		55456 	0 		88672 		56864
	383 	free 		37792 	0 		126464 		56864
	384 	alloc 		117344 	-1 		126464 		56864
	385 	alloc 		46176 	2208 		80288 		45632
	386 	free 		87200 	0 		167488 		87200
	387 	alloc 		83872 	378016 		83616 		45632
	388 	free 		40608 	0 		124224 		86240
	389 	alloc 		118112 	-1 		124224 		86240
	390 	free 		36000 	0 		160224 		86240
	391 	free 		103328 	0 		263552 		189568
	392 	alloc 		91808 	135168 		171744 		97760
	393 	free 		53280 	0 		225024 		151040
	394 	alloc 		40608 	226976 		184416 		110432
	395 	alloc 		27040 	267584 		157376 		83392
	396 	free 		118112 	-1 		157376 		83392
	397 	free 		6368 	0 		163744 		83392
	398 	free 		2208 	0 		165952 		83392
	399 	alloc 		37344 	294624 		128608 		62400
	400 	alloc 		45152 	331968 		83456 		62400
	401 	alloc 		21152 	461888 		62304 		41248
	402 	alloc 		107168 	-1 		62304 		41248
	403 	alloc 		72416 	-1 		62304 		41248
	404 	free 		83872 	0 		146176 		84768
	405 	free 		70752 	-1 		146176 		84768
	406 	alloc 		30944 	377120 		115232 		53824
	407 	free 		68832 	0 		184064 		86784
	408 	alloc 		66208 	48384 		117856 		53824
	409 	alloc 		108512 	-1 		117856 		53824
	410 	free 		45152 	0 		163008 		53824
	411 	free 		91808 	0 		254816 		112384
	412 	alloc 		64160 	114592 		190656 		53824
	413 	free 		46176 	0 		236832 		53824
	414 	free 		117344 	-1 		236832 		53824
	415 	alloc 		22304 	0 		214528 		53824
	416 	free 		21152 	0 		235680 		116224
	417 	alloc 		28896 	178752 		206784 		116224
	418 	free 		27040 	0 		233824 		116224
	419 	free 		37344 	0 		271168 		116224
	420 	free 		40608 	0 		311776 		169472
	421 	free 		72416 	-1 		311776 		169472
	422 	free 		66208 	0 		377984 		169472
	423 	alloc 		61856 	22304 		316128 		169472
	424 	free 		107168 	-1 		316128 		169472
	425 	free 		30944 	0 		347072 		316640
	426 	alloc 		54688 	207648 		292384 		261952
	427 	alloc 		7648 	84160 		284736 		261952
	428 	alloc 		85728 	262336 		199008 		176224
	429 	alloc 		111136 	348064 		87872 		65088
	430 	free 		28896 	0 		116768 		65088
	431 	free 		54688 	0 		171456 		83584
	432 	free 		22304 	0 		193760 		83584
	433 	alloc 		10784 	0 		182976 		83584
	434 	alloc 		95520 	-1 		182976 		83584
	435 	free 		61856 	0 		244832 		83584
	436 	free 		108512 	-1 		244832 		83584
	437 	free 		111136 	0 		355968 		176224
	438 	alloc 		67104 	10784 		288864 		176224
	439 	alloc 		129184 	348064 		159680 		83584
	440 	free 		64160 	0 		223840 		170528
	441 	free 		10784 	0 		234624 		170528
	442 	alloc 		7904 	0 		226720 		170528
	443 	free 		85728 	0 		312448 		256256
	444 	alloc 		18784 	91808 		293664 		237472
	445 	alloc 		40032 	110592 		253632 		197440
	446 	alloc 		119200 	150624 		134432 		78240
	447 	alloc 		28384 	269824 		106048 		49856
	448 	alloc 		103264 	-1 		106048 		49856
	449 	alloc 		74464 	-1 		106048 		49856
	450 	alloc 		3936 	77888 		102112 		49856
	451 	free 		129184 	0 		231296 		226080
	452 	alloc 		13728 	298208 		217568 		212352
	453 	free 		7904 	0 		225472 		212352
	454 	free 		67104 	0 		292576 		212352
	455 	alloc 		89696 	311936 		202880 		122656
	456 	free 		119200 	0 		322080 		122656
	457 	free 		7648 	0 		329728 		122656
	458 	free 		74464 	-1 		329728 		122656
	459 	free 		103264 	-1 		329728 		122656
	460 	alloc 		96224 	150624 		233504 		122656
	461 	alloc 		114784 	401632 		118720 		77888
	462 	free 		89696 	0 		208416 		89696
	463 	free 		40032 	0 		248448 		89696
	464 	free 		95520 	-1 		248448 		89696
	465 	alloc 		47200 	0 		201248 		89696
	466 	alloc 		45152 	311936 		156096 		44544
	467 	free 		3936 	0 		160032 		44608
	468 	alloc 		11680 	47200 		148352 		44544
	469 	alloc 		91040 	-1 		148352 		44544
	470 	free 		11680 	0 		160032 		44608
	471 	alloc 		126944 	-1 		160032 		44608
	472 	free 		28384 	0 		188416 		51360
	473 	free 		126944 	-1 		188416 		51360
	474 	free 		18784 	0 		207200 		103424
	475 	alloc 		105248 	-1 		207200 		103424
	476 	alloc 		111264 	-1 		207200 		103424
	477 	free 		96224 	0 		303424 		251008
	478 	alloc 		54624 	47200 		248800 		196384
	479 	free 		13728 	0 		262528 		210112
	480 	free 		91040 	-1 		262528 		210112
	481 	free 		45152 	0 		307680 		299808
	482 	free 		111264 	-1 		307680 		299808
	483 	free 		114784 	0 		422464 		422464
	484 	alloc 		115872 	101824 		306592 		306592
	485 	alloc 		97376 	217696 		209216 		209216
	486 	alloc 		71264 	315072 		137952 		137952
	487 	alloc 		30880 	386336 		107072 		107072
	488 	alloc 		34016 	417216 		73056 		73056
	489 	alloc 		121504 	-1 		73056 		73056
	490 	alloc 		34784 	451232 		38272 		38272
	491 	free 		47200 	0 		85472 		47200
	492 	alloc 		41248 	0 		44224 		38272
	493 	alloc 		63904 	-1 		44224 		38272
	494 	free 		121504 	-1 		44224 		38272
	495 	alloc 		127520 	-1 		44224 		38272
	496 	free 		41248 	0 		85472 		47200
	497 	free 		71264 	0 		156736 		71264
	498 	free 		54624 	0 		211360 		101824
	499 	free 		115872 	0 		327232 		217696
	500 	alloc 		33760 	0 		293472 		183936
	501 	free 		105248 	-1 		293472 		183936
	502 	alloc 		78112 	33760 		215360 		105824
	503 	free 		127520 	-1 		215360 		105824
	504 	alloc 		40928 	111872 		174432 		71264
	505 	alloc 		32800 	152800 		141632 		71264
	506 	alloc 		17568 	185600 		124064 		71264
	507 	free 		63904 	-1 		124064 		71264
	508 	free 		97376 	0 		221440 		183168
	509 	free 		30880 	0 		252320 		214048
	510 	free 		34016 	0 		286336 		248064
	511 	alloc 		32672 	203168 		253664 		215392
	512 	alloc 		93280 	235840 		160384 		122112
	513 	free 		33760 	0 		194144 		122112
	514 	alloc 		129056 	-1 		194144 		122112
	515 	free 		32800 	0 		226944 		122112
	516 	free 		17568 	0 		244512 		122112
	517 	free 		34784 	0 		279296 		195168
	518 	alloc 		123872 	329120 		155424 		71296
	519 	alloc 		40160 	152800 		115264 		71296
	520 	alloc 		108320 	-1 		115264 		71296
	521 	alloc 		14752 	0 		100512 		71296
	522 	alloc 		92512 	-1 		100512 		71296
	523 	free 		123872 	0 		224384 		195168
	524 	free 		129056 	-1 		224384 		195168
	525 	free 		40928 	0 		265312 		195168
	526 	free 		108320 	-1 		265312 		195168
	527 	alloc 		71904 	329120 		193408 		123264
	528 	alloc 		32608 	111872 		160800 		123264
	529 	free 		78112 	0 		238912 		123264
	530 	alloc 		19360 	14752 		219552 		123264
	531 	alloc 		76256 	34112 		143296 		123264
	532 	alloc 		83040 	401024 		60256 		40224
	533 	free 		32672 	0 		92928 		42880
	534 	free 		92512 	-1 		92928 		42880
	535 	alloc 		117408 	-1 		92928 		42880
	536 	alloc 		103520 	-1 		92928 		42880
	537 	alloc 		55584 	-1 		92928 		42880
	538 	alloc 		35168 	192960 		57760 		40224
	539 	free 		14752 	0 		72512 		40224
	540 	free 		35168 	0 		107680 		42880
	541 	free 		93280 	0 		200960 		136160
	542 	alloc 		57888 	192960 		143072 		78272
	543 	free 		40160 	0 		183232 		78272
	544 	alloc 		105312 	-1 		183232 		78272
	545 	free 		76256 	0 		259488 		78272
	546 	alloc 		23584 	34112 		235904 		78272
	547 	alloc 		95584 	-1 		235904 		78272
	548 	free 		23584 	0 		259488 		78272
	549 	alloc 		33632 	34112 		225856 		78272
	550 	free 		71904 	0 		297760 		150176
	551 	alloc 		117344 	250848 		180416 		48480
	552 	free 		32608 	0 		213024 		125216
	553 	free 		19360 	0 		232384 		125216
	554 	alloc 		49888 	67744 		182496 		75328
	555 	free 		49888 	0 		232384 		125216
	556 	alloc 		126048 	-1 		232384 		125216
	557 	free 		95584 	-1 		232384 		125216
	558 	free 		126048 	-1 		232384 		125216
	559 	free 		117408 	-1 		232384 		125216
	560 	free 		83040 	0 		315424 		156096
	561 	alloc 		76064 	67744 		239360 		156096
	562 	alloc 		36832 	143808 		202528 		156096
	563 	free 		57888 	0 		260416 		156096
	564 	free 		105312 	-1 		260416 		156096
	565 	free 		55584 	-1 		260416 		156096
	566 	free 		103520 	-1 		260416 		156096
	567 	alloc 		71008 	368192 		189408 		85088
	568 	alloc 		8672 	0 		180736 		85088
	569 	free 		117344 	0 		298080 		187552
	570 	alloc 		49760 	180640 		248320 		137792
	571 	alloc 		94816 	230400 		153504 		85088
	572 	free 		94816 	0 		248320 		137792
	573 	alloc 		127328 	230400 		120992 		85088
	574 	free 		36832 	0 		157824 		85088
	575 	free 		76064 	0 		233888 		112896
	576 	alloc 		72992 	67744 		160896 		85088
	577 	free 		33632 	0 		194528 		85088
	578 	free 		127328 	0 		321856 		137792
	579 	alloc 		93408 	230400 		228448 		85088
	580 	alloc 		81568 	439200 		146880 		59072
	581 	alloc 		100960 	-1 		146880 		59072
	582 	alloc 		52576 	8672 		94304 		44384
	583 	alloc 		69664 	-1 		94304 		44384
	584 	alloc 		75040 	-1 		94304 		44384
	585 	free 		75040 	-1 		94304 		44384
	586 	alloc 		82656 	-1 		94304 		44384
	587 	alloc 		72864 	-1 		94304 		44384
	588 	free 		71008 	0 		165312 		115392
	589 	alloc 		62432 	323808 		102880 		52960
	590 	alloc 		53280 	-1 		102880 		52960
	591 	alloc 		48992 	386240 		53888 		39904
	592 	alloc 		58208 	-1 		53888 		39904
	593 	free 		93408 	0 		147296 		93408
	594 	free 		49760 	0 		197056 		183072
	595 	free 		62432 	0 		259488 		245504
	596 	free 		8672 	0 		268160 		245504
	597 	free 		48992 	0 		317152 		298464
	598 	free 		72864 	-1 		317152 		298464
	599 	alloc 		55456 	140736 		261696 		243008
	600 	alloc 		35232 	196192 		226464 		207776
	601 	free 		72992 	0 		299456 		207776
	602 	free 		35232 	0 		334688 		243008
	603 	alloc 		1824 	0 		332864 		243008
	604 	alloc 		65568 	61248 		267296 		243008
